

"NE Report"
"Save Time: 10/12/2017 17:11:56"
"User Name:u2000tn-AndAlNesterenko"
""

"Total 523 Records"

"NE Name","NE Type","NE IP Address","NE MAC Address","NE ID","Software Version","Physical Location","Create Time","Fiber/Cable Count","Running Status","Subnet","Subnet Path","Alias","Remarks","Patch Version List","Customized Column","LSR ID","Maintenance Status","Gateway Type","Gateway","Optical NE","Subrack Type","Conference Call","Orderwire Phone","NE Subtype"
agg1-Sovetskaya47.MINVD,CX600,10.173.212.1,28:6E:D4:EE:83:33,--,VRP5.120 V600R006C00,25026100041,09/26/2016 23:10:46,3,Normal,MEN MinVody,Physical Root / South / Stavropol / MEN MinVody,MinVody - AMTS,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.212.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Oktyaborskaya46a.BUDVK,CX600,10.173.220.1,28:6E:D4:EE:83:22,--,VRP5.120 V600R006C00,25026100088,09/26/2016 23:11:00,4,Normal,MEN Budennovsk,Physical Root / South / Stavropol / MEN Budennovsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.220.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg2-Oktyaborskaya46a.BUDVK,CX600,10.173.220.2,28:6E:D4:93:95:65,--,VRP5.120 V600R006C00,25026100088,09/26/2016 23:11:02,5,Normal,MEN Budennovsk,Physical Root / South / Stavropol / MEN Budennovsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.220.2,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Leningradskaya63.GEORG,CX600,10.173.216.1,28:6E:D4:EE:83:47,--,VRP5.120 V600R006C00,25026100087,09/26/2016 23:10:49,7,Normal,MEN Georgievsk,Physical Root / South / Stavropol / MEN Georgievsk,ATS-2,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.216.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg2-Leningradskaya63.GEORG,CX600,10.173.216.2,28:6E:D4:EE:83:70,--,VRP5.120 V600R006C00,25026100087,09/26/2016 23:10:54,7,Normal,MEN Georgievsk,Physical Root / South / Stavropol / MEN Georgievsk,ATS-2,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.216.2,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc25-1-Promishlennaya2.STV,S3300,10.173.228.74,28:6E:D4:E8:CE:7E,--,VRP5.70 V100R006C01,25026102533,09/27/2016 00:34:12,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc23-1-2Ugozapandniy2d.STV,S3300,10.173.228.91,28:6E:D4:E8:D2:B0,--,VRP5.70 V100R006C01,25026102516,09/27/2016 00:34:49,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc1-7-Lenina406.STV,S3300,10.173.228.95,70:7B:E8:20:6D:FD,--,VRP5.70 V100R006C01,25026066271,09/27/2016 00:34:57,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Dunaevskogo26.PYATK,CX600,10.173.192.1,70:7B:E8:2F:8D:2E,--,VRP5.160 V600R008C10,25026100201,09/26/2016 23:10:20,16,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC300 SPH066,-,10.173.192.1,Normal,Non-gateway,--,--,ST_EXTENDED,--,--,CX600-X8
acc16-10-Pirogova68_3.STV,S3300,10.173.228.35,4C:B1:6C:29:97:B0,--,VRP5.70 V100R006C01,25026102566,09/27/2016 00:32:46,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc7-12-Bulkina11.STV,S3300,10.173.228.37,00:46:4B:CC:81:8A,--,VRP5.70 V100R006C01,25026103325,09/27/2016 00:32:51,0,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc37-10-KMarksa47-49.STV,S3300,10.173.228.98,4C:1F:CC:82:D7:41,--,VRP5.70 V100R006C01,25026103105,09/27/2016 00:35:02,2,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc37-11-KMarksa47-49.STV,S3300,10.173.228.99,4C:1F:CC:82:D7:3C,--,VRP5.70 V100R006C01,25026103105,09/27/2016 00:35:04,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc36-1-Unosty5a.STV,S3300,10.173.228.100,28:6E:D4:E8:D3:5C,--,VRP5.70 V100R006C01,25026103115,09/27/2016 00:28:19,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
acc16-6-Mira3.PYATK,S3300,10.173.196.43,00:46:4B:BC:07:45,--,VRP5.70 V100R006C01,25026064247,09/27/2016 00:24:53,0,Normal,MEN Pyatigorsk,Physical Root / South / Stavropol / MEN Pyatigorsk,-,The NE is created through auto discovery.,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Chaykovskogo.NFTK,CX600,10.173.188.1,80:FB:06:DF:DC:DA,--,VRP5.120 V600R006C00,25026061249,09/26/2016 23:09:57,6,Normal,MEN Neftekumsk,Physical Root / South / Stavropol / MEN Neftekumsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.188.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
acc1-3-Dzerzhinskogo199.STV,S3300,10.173.228.6,4C:1F:CC:85:99:78,--,VRP5.70 V100R006C01,25026103360,09/27/2016 00:34:04,1,Normal,MEN Stavropol,Physical Root / South / Stavropol / MEN Stavropol,-, ,SPC100 SPH017,-,--,Normal,--,--,--,Enhanced Subrack,--,--,S3328TP-EI
agg1-Sedlogorskaya.KSLV,CX600,10.173.184.1,4C:1F:CC:9F:0B:5B,--,VRP5.120 V600R006C00,25026103045,09/26/2016 23:09:50,6,Normal,MEN Kislovodsk,Physical Root / South / Stavropol / MEN Kislovodsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.184.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Dzerjinskogo24.KSLV,CX600,10.173.184.2,80:FB:06:DF:DC:D8,--,VRP5.120 V600R006C00,25026065260,09/26/2016 23:09:53,4,Normal,MEN Kislovodsk,Physical Root / South / Stavropol / MEN Kislovodsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.184.2,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Luksemburg50.KSLV,CX600,10.173.184.3,80:FB:06:DF:DC:EB,--,VRP5.120 V600R006C00,25026100172,09/26/2016 23:09:55,6,Normal,MEN Kislovodsk,Physical Root / South / Stavropol / MEN Kislovodsk,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.184.3,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
agg1-Lotos.IZOBIL,CX600,10.173.248.1,80:FB:06:DF:DC:D1,--,VRP5.120 V600R006C00,25026065248,09/26/2016 23:12:11,6,Normal,MEN Isobilnij,Physical Root / South / Stavropol / MEN Isobilnij,-,The NE is created through auto discovery.,SPC300 SPH053,-,10.173.248.1,Normal,Non-gateway,--,--,Enhanced Subrack,--,--,CX600-X3
